audio,image,id,type,annotator,annotation_id,created_at,updated_at,lead_time
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85196_PV_clean_0_to_2.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85196_PV_clean_0_to_2.png,2793,Noise,12,2669,2022-06-22T05:16:19.183101Z,2022-06-22T05:17:00.216167Z,138.785
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85225_TV_clean_0_to_2.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85225_TV_clean_0_to_2.png,3788,Unsure,11,2454,2022-06-19T04:45:17.515551Z,2022-06-19T04:45:17.515586Z,6.102
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/84885_MV_clean_8_to_10.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/84885_MV_clean_8_to_10.png,3787,Heart sound,11,2453,2022-06-19T04:45:10.641834Z,2022-06-19T04:45:10.641868Z,6.828
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85042_MV_clean_0_to_2.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85042_MV_clean_0_to_2.png,3786,Heart sound,11,2452,2022-06-19T04:32:11.722818Z,2022-06-19T04:32:11.722868Z,6.98
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/68478_PV_clean_8_to_10.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/68478_PV_clean_8_to_10.png,3785,Heart sound,11,2451,2022-06-19T04:32:03.897569Z,2022-06-19T04:32:03.897607Z,5.722
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85331_TV_clean_2_to_4.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85331_TV_clean_2_to_4.png,3784,Heart sound,11,2450,2022-06-19T04:31:57.364278Z,2022-06-19T04:31:57.364317Z,17.744
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85024_MV_clean_10_to_12.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85024_MV_clean_10_to_12.png,3783,Heart sound,11,2449,2022-06-19T04:16:06.861144Z,2022-06-19T04:16:06.861187Z,3.181
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/49659_PV_clean_24_to_26.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/49659_PV_clean_24_to_26.png,3782,Heart sound,11,2448,2022-06-19T04:16:02.870023Z,2022-06-19T04:16:02.870058Z,3.456
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/50673_TV_clean_28_to_30.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/50673_TV_clean_28_to_30.png,3781,Heart sound,11,2447,2022-06-19T04:15:58.640743Z,2022-06-19T04:15:58.640776Z,3.752
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85186_TV_clean_10_to_12.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/85186_TV_clean_10_to_12.png,3780,Heart sound,11,2446,2022-06-19T04:15:54.040273Z,2022-06-19T04:15:54.040314Z,4.12
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/50643_AV_clean_18_to_20.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/50643_AV_clean_18_to_20.png,3779,Heart sound,11,2445,2022-06-19T04:15:49.143128Z,2022-06-19T04:15:49.143164Z,4.545
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/50754_MV_clean_0_to_2.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/50754_MV_clean_0_to_2.png,3778,Heart sound,11,2444,2022-06-19T04:15:43.837401Z,2022-06-19T04:15:43.837437Z,4.176
http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/50626_MV_clean_20_to_22.wav,http://algodev.matheusaraujo.com:8888/training_data/noise_annotations/50626_MV_clean_20_to_22.png,3777,Unsure,11,2443,2022-06-19T04:15:38.876349Z,2022-06-19T04:15:38.876390Z,5.613
